                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5102,                 3.1965,                 1.6282,                0.33155,                0.30449,                 0.2665,                0.15875,                  1.269,                 2.9564,                 1.5764,             0.00035007,             0.00035007,             0.00035007
                      2,                 1.2647,                 2.2312,                 1.4254,                0.23986,                0.30048,                0.22018,                0.13267,                 1.3459,                 3.7345,                 1.6792,             0.00071208,             0.00071208,             0.00071208
                      3,                 1.3278,                 1.9834,                 1.4345,                0.52773,                0.41987,                0.30399,                0.16422,                 1.3909,                 3.5213,                  2.013,              0.0010692,              0.0010692,              0.0010692
                      4,                 1.4702,                 2.3198,                 1.5189,                0.15948,                0.29006,                0.11156,                0.05456,                 1.9381,                 19.925,                 2.7532,              0.0014216,              0.0014216,              0.0014216
                      5,                 1.4704,                 2.0457,                 1.5783,                0.14919,                0.38141,                 0.2396,                0.12605,                 1.6939,                 34.437,                 2.6878,               0.001623,               0.001623,               0.001623
                      6,                 1.4199,                 1.8895,                 1.5425,                0.60088,                  0.188,                0.10963,                0.05617,                 1.7277,                 3.8561,                 2.5936,               0.001623,               0.001623,               0.001623
                      7,                 1.4282,                 1.8889,                 1.5543,                0.50933,                0.19631,                 0.2078,                0.11027,                 2.0303,                 3.6597,                 2.5358,               0.001612,               0.001612,               0.001612
                      8,                 1.5685,                 2.0176,                 1.6549,                0.30924,                0.58504,                0.37418,                0.18961,                 1.6885,                 7.6472,                 2.3012,               0.001601,               0.001601,               0.001601
                      9,                 1.5806,                 1.8714,                 1.6755,                0.32333,                0.57508,                 0.4283,                0.20669,                 1.5812,                 6.8413,                 1.9651,                0.00159,                0.00159,                0.00159
                     10,                 1.4365,                 1.7236,                  1.539,                 0.2724,                0.48397,                0.37021,                0.16196,                 1.5843,                 7.6036,                 1.9121,               0.001579,               0.001579,               0.001579
                     11,                 1.4421,                 1.5893,                 1.5715,                0.32811,                0.46955,                0.32454,                0.16757,                 1.6948,                 5.1172,                 1.9229,               0.001568,               0.001568,               0.001568
                     12,                 1.5298,                 1.9362,                  1.582,                0.21202,                0.32853,                0.20917,                0.10739,                 2.0037,                 4.1212,                 2.0768,               0.001557,               0.001557,               0.001557
                     13,                  1.415,                   1.75,                  1.524,                0.47671,                0.55769,                0.54036,                0.27656,                 1.4932,                 3.1495,                  1.817,               0.001546,               0.001546,               0.001546
                     14,                 1.3838,                  1.558,                 1.4723,                0.51979,                0.41061,                0.47126,                0.26029,                 1.7014,                 3.0352,                 2.0193,               0.001535,               0.001535,               0.001535
                     15,                 1.4056,                 1.5072,                 1.4814,                0.77494,                0.68429,                0.73784,                0.45185,                 1.2983,                 1.3326,                  1.617,               0.001524,               0.001524,               0.001524
                     16,                 1.3926,                 1.5415,                 1.4954,                0.72622,                0.70285,                0.70255,                0.43142,                 1.2532,                 1.5592,                 1.5996,               0.001513,               0.001513,               0.001513
                     17,                 1.3137,                 1.5466,                 1.4536,                 0.6209,                0.71554,                 0.6593,                0.41738,                 1.2322,                  1.811,                 1.6227,               0.001502,               0.001502,               0.001502
                     18,                 1.3007,                 1.4083,                 1.4095,                0.89548,                0.53632,                0.71062,                0.46896,                 1.2144,                 1.4812,                 1.5543,               0.001491,               0.001491,               0.001491
                     19,                 1.2083,                  1.349,                 1.3791,                 0.5456,                0.54087,                0.56367,                 0.3377,                 1.4417,                 1.6576,                 1.8093,                0.00148,                0.00148,                0.00148
                     20,                 1.3001,                 1.4559,                 1.4267,                0.81092,                0.57369,                0.67067,                0.38171,                 1.3892,                 1.8172,                 1.7108,               0.001469,               0.001469,               0.001469
                     21,                 1.2351,                 1.3184,                 1.3676,                0.58942,                0.55929,                 0.6263,                0.39646,                 1.2953,                 1.7708,                 1.6206,               0.001458,               0.001458,               0.001458
                     22,                 1.2912,                 1.4354,                 1.4284,                0.57268,                0.61285,                0.61933,                0.38824,                 1.2994,                  1.482,                 1.6822,               0.001447,               0.001447,               0.001447
                     23,                 1.2387,                 1.3141,                 1.4347,                0.62942,                0.54992,                 0.6107,                0.39386,                 1.1843,                 1.4757,                 1.5962,               0.001436,               0.001436,               0.001436
                     24,                 1.1852,                  1.205,                 1.3735,                0.88306,                0.38462,                0.53048,                0.32881,                 1.3281,                 1.6679,                 1.7086,               0.001425,               0.001425,               0.001425
                     25,                 1.2421,                 1.3651,                 1.3924,                0.81186,                0.50209,                0.64423,                0.38312,                 1.2069,                 1.5448,                 1.5055,              0.0014139,              0.0014139,              0.0014139
                     26,                 1.2313,                 1.2739,                 1.3966,                0.75441,                0.69537,                0.77122,                0.53164,                 1.1328,                 1.2303,                 1.4401,              0.0014029,              0.0014029,              0.0014029
                     27,                 1.1796,                 1.2095,                 1.3513,                 0.8456,                0.67308,                0.80794,                0.55957,                 1.0545,                 1.0688,                 1.3463,              0.0013919,              0.0013919,              0.0013919
                     28,                 1.1764,                 1.2435,                 1.3645,                0.90017,                0.59372,                0.73549,                0.53022,                 1.0426,                 1.1546,                 1.3823,              0.0013809,              0.0013809,              0.0013809
                     29,                 1.2145,                 1.2609,                 1.3674,                0.64003,                0.66426,                0.72721,                0.53251,                 1.0448,                 1.2941,                 1.3589,              0.0013699,              0.0013699,              0.0013699
                     30,                 1.2303,                 1.1984,                 1.3583,                0.66053,                0.84936,                0.80262,                0.56738,                 1.0903,                  1.304,                 1.4103,              0.0013589,              0.0013589,              0.0013589
                     31,                 1.1335,                 1.1424,                 1.3026,                0.87735,                0.67869,                0.84534,                0.59957,                 1.1515,                 1.1765,                 1.4635,              0.0013479,              0.0013479,              0.0013479
                     32,                 1.1089,                 1.1165,                 1.2807,                0.72725,                0.74142,                0.82108,                0.56458,                 1.0972,                 1.1441,                 1.4421,              0.0013369,              0.0013369,              0.0013369
                     33,                 1.1591,                 1.1116,                 1.3113,                0.77057,                0.70994,                0.77091,                0.56366,                 1.0537,                 1.2245,                 1.3638,              0.0013259,              0.0013259,              0.0013259
                     34,                 1.1033,                 1.0849,                 1.2823,                0.85889,                0.80113,                0.88066,                0.62518,                 1.0543,                0.91339,                 1.3867,              0.0013149,              0.0013149,              0.0013149
                     35,                 1.1957,                  1.101,                 1.3361,                 0.7537,                0.86779,                0.89473,                0.63515,                  1.035,                0.89615,                 1.3509,              0.0013039,              0.0013039,              0.0013039
                     36,                 1.1246,                  1.074,                 1.2839,                0.77397,                0.67147,                0.76898,                 0.5105,                 1.1688,                 1.1992,                 1.4945,              0.0012929,              0.0012929,              0.0012929
                     37,                 1.0968,                 1.0426,                 1.3025,                0.79439,                0.77534,                0.84445,                0.57462,                 1.0663,                 1.0943,                 1.4164,              0.0012819,              0.0012819,              0.0012819
                     38,                 1.1379,                 1.0577,                 1.3083,                0.79061,                0.81521,                0.86312,                0.60698,                 1.0477,                  1.051,                 1.3771,              0.0012709,              0.0012709,              0.0012709
                     39,                 1.0934,                  1.074,                 1.3204,                0.84299,                 0.8164,                0.88866,                0.61901,                 1.0707,                0.98608,                  1.379,              0.0012599,              0.0012599,              0.0012599
                     40,                 1.0873,                 1.0292,                  1.294,                0.82644,                0.75962,                0.87343,                0.58123,                 1.0991,                 1.0014,                 1.4204,              0.0012489,              0.0012489,              0.0012489
                     41,                 1.1065,                 1.0052,                    1.3,                 0.8264,                0.70681,                0.81789,                0.57808,                 1.0657,                0.96804,                 1.4239,              0.0012379,              0.0012379,              0.0012379
                     42,                 1.0745,                 1.0455,                 1.2503,                0.76009,                0.72276,                0.81795,                0.60438,                 1.0707,                0.99973,                 1.4045,              0.0012269,              0.0012269,              0.0012269
                     43,                 1.0993,                0.99448,                 1.2689,                0.85406,                0.74679,                0.83892,                0.61435,                 1.0378,                 0.9447,                 1.3879,              0.0012159,              0.0012159,              0.0012159
                     44,                 1.1058,                0.97957,                 1.2968,                0.76683,                0.78805,                0.81477,                0.53782,                 1.1179,                 1.1205,                 1.4241,              0.0012049,              0.0012049,              0.0012049
                     45,                 1.0908,                0.97865,                 1.3242,                0.78555,                0.84215,                0.87697,                 0.6329,                 1.1087,                0.95072,                 1.4134,              0.0011939,              0.0011939,              0.0011939
                     46,                 1.1299,                 1.0843,                 1.3256,                0.79473,                0.78765,                0.88368,                0.62308,                 1.0852,                0.94441,                 1.4083,              0.0011829,              0.0011829,              0.0011829
                     47,                 1.0937,                0.99927,                 1.2759,                0.85864,                0.72985,                 0.8251,                0.56416,                 1.1676,                 1.0606,                 1.5014,              0.0011719,              0.0011719,              0.0011719
                     48,                 1.0835,                0.99218,                 1.2749,                0.85351,                 0.7423,                0.82662,                0.53098,                 1.1788,                 1.1118,                 1.5131,              0.0011609,              0.0011609,              0.0011609
                     49,                 1.0309,                 0.9047,                 1.2256,                0.87304,                0.75756,                0.82591,                0.57964,                  1.118,                0.91127,                 1.4237,              0.0011499,              0.0011499,              0.0011499
                     50,                   1.03,                0.90384,                 1.1965,                0.83126,                0.78013,                0.84381,                0.60234,                   1.04,                0.87608,                 1.3288,              0.0011389,              0.0011389,              0.0011389
                     51,                 1.0784,                0.95807,                 1.2745,                0.83203,                0.77244,                0.84808,                0.59986,                0.97787,                0.90947,                 1.2645,              0.0011279,              0.0011279,              0.0011279
                     52,                 1.0157,                0.89463,                 1.2232,                0.80988,                0.85126,                0.91212,                0.66347,                 1.0192,                0.91032,                 1.3028,              0.0011169,              0.0011169,              0.0011169
                     53,                 1.0033,                0.88083,                 1.2422,                0.87193,                0.79185,                0.92319,                 0.6804,                0.98689,                 0.8432,                 1.2914,              0.0011059,              0.0011059,              0.0011059
                     54,                 1.0136,                0.89649,                 1.2069,                0.63955,                0.82212,                0.83597,                0.59912,                 1.0266,                0.92726,                 1.3317,              0.0010949,              0.0010949,              0.0010949
                     55,                 1.0262,                0.94013,                 1.2406,                0.68007,                 0.8149,                0.80893,                0.55418,                 1.1262,                 1.0717,                 1.4047,              0.0010839,              0.0010839,              0.0010839
