                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2583,                 2.9723,                 1.4445,                0.20431,                0.55591,                0.27317,                0.17544,                 1.2576,                 3.3268,                 1.5875,              0.0005001,              0.0005001,              0.0005001
                      2,                  1.192,                 1.9237,                 1.3259,                0.32503,                0.44762,                0.29517,                 0.1586,                 1.3556,                 4.8627,                 1.6461,              0.0010102,              0.0010102,              0.0010102
                      3,                 1.2433,                 1.8223,                 1.3703,                0.16963,                 0.5619,                0.25256,                0.10994,                 1.6762,                 14.045,                 2.7414,              0.0015134,              0.0015134,              0.0015134
                      4,                 1.2848,                  1.918,                 1.4282,                0.22359,                0.18571,                0.09213,                0.04292,                 2.8673,                 11.855,                 5.4792,               0.001634,               0.001634,               0.001634
                      5,                 1.2792,                 1.7652,                 1.4677,                0.14515,                0.15714,                0.10684,                0.04895,                 2.1187,                 7.4134,                 3.2234,               0.001634,               0.001634,               0.001634
                      6,                 1.2287,                 1.6706,                 1.4044,                0.37955,                0.44048,                0.32101,                0.17069,                 1.4199,                 5.7078,                 1.7911,               0.001623,               0.001623,               0.001623
                      7,                 1.3429,                 1.7346,                 1.4613,                0.35455,                0.35238,                0.23685,                0.14823,                 1.6965,                 4.8022,                 1.7967,               0.001612,               0.001612,               0.001612
                      8,                 1.2901,                  1.674,                 1.4023,                0.11656,                 0.2881,                0.06756,                0.02869,                 2.2444,                 8.8903,                 3.3229,               0.001601,               0.001601,               0.001601
                      9,                 1.1959,                 1.5383,                 1.3558,                0.47156,                 0.6883,                 0.6149,                0.35272,                  1.357,                 1.8238,                 1.7101,                0.00159,                0.00159,                0.00159
                     10,                 1.1713,                 1.4656,                 1.3605,                0.49416,                 0.6119,                0.55873,                0.35668,                    1.3,                 1.5949,                 1.5252,               0.001579,               0.001579,               0.001579
                     11,                 1.2444,                 1.5284,                 1.4127,                0.58495,                0.56776,                0.67823,                0.44543,                 1.2584,                 1.6771,                 1.5726,               0.001568,               0.001568,               0.001568
                     12,                 1.1349,                 1.4047,                 1.3668,                 0.5365,                0.68905,                0.68908,                0.48127,                 1.1003,                 1.6743,                 1.4444,               0.001557,               0.001557,               0.001557
                     13,                 1.1143,                 1.3118,                 1.3338,                0.72882,                0.56429,                0.70285,                0.42482,                 1.4193,                 1.5463,                 1.6515,               0.001546,               0.001546,               0.001546
                     14,                 1.1403,                 1.3269,                 1.3404,                0.75347,                   0.65,                0.72444,                0.49255,                 1.0599,                 1.2149,                  1.343,               0.001535,               0.001535,               0.001535
                     15,                 1.1053,                 1.3163,                 1.3281,                0.75133,                0.77392,                0.80919,                0.54775,                 1.0952,                 1.1628,                 1.3426,               0.001524,               0.001524,               0.001524
                     16,                 1.0756,                 1.2814,                 1.2904,                0.54407,                0.69656,                0.64909,                0.42608,                 1.1604,                 1.4889,                 1.4046,               0.001513,               0.001513,               0.001513
