                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1863,                 3.3064,                 1.3909,                0.52259,                0.16667,                0.01378,                0.00858,                 0.8101,                 3.6532,                 1.0776,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.0914,                 3.1496,                 1.2502,                0.72911,                0.08333,                0.05674,                0.04854,                0.82359,                  3.602,                 1.0938,               8.28e-05,               8.28e-05,               8.28e-05
                      3,                 1.1551,                 2.6794,                 1.3916,                0.66349,                   0.25,                0.17646,                0.15707,                0.63415,                 3.9571,                 1.0205,              0.0001316,              0.0001316,              0.0001316
                      4,                0.97834,                  2.214,                 1.2193,                0.72083,                0.33333,                0.29717,                0.26309,                0.55711,                 3.2881,                0.98791,             0.00017974,             0.00017974,             0.00017974
                      5,                0.75654,                 1.7375,                 1.0201,                0.83883,                0.41667,                0.38813,                0.34372,                0.51041,                 2.4752,                0.93072,             0.00022722,             0.00022722,             0.00022722
                      6,                0.85184,                 1.6668,                 1.1219,                0.82811,                0.32028,                0.36751,                0.31687,                0.64068,                 2.5425,                0.93533,             0.00027404,             0.00027404,             0.00027404
                      7,                0.61941,                 1.2298,                 1.0136,                0.90663,                0.41667,                0.44317,                 0.3805,                0.64825,                 2.1202,                0.93836,              0.0003202,              0.0003202,              0.0003202
                      8,                0.72652,                 1.2897,                 1.0553,                0.89713,                0.41667,                0.42141,                0.37292,                0.63837,                  2.148,                0.94638,              0.0003657,              0.0003657,              0.0003657
                      9,                0.68738,                 1.2156,                 1.0259,                0.84135,                0.41667,                0.42262,                0.36729,                0.63761,                 1.7301,                0.93123,             0.00041054,             0.00041054,             0.00041054
                     10,                0.63076,                 1.1111,                 1.0214,                0.79907,                0.49651,                  0.863,                0.75396,                0.69403,                 2.1389,                0.95537,             0.00045471,             0.00045471,             0.00045471
                     11,                0.65523,                  1.294,                 1.0082,                0.73891,                0.41667,                0.57554,                0.48948,                 0.7641,                 2.2385,                  0.991,             0.00049823,             0.00049823,             0.00049823
                     12,                0.65196,                 1.0726,                 1.0112,                0.81905,                   0.25,                0.78946,                0.49732,                0.85372,                 2.1515,                 1.0532,             0.00054109,             0.00054109,             0.00054109
